metric_name,percentile,threshold_value,baseline_start_date,baseline_end_date
avg_merge_latency_hours,27.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,27.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,27.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,27.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,27.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,27.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,27.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,27.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,27.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,28.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,28.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,28.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,28.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,28.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,28.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,28.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,28.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,28.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,28.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,29.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,29.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,29.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,29.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,29.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,29.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,29.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,29.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,29.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,29.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,30.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,30.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,30.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,30.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,30.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,30.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,30.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,30.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,30.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,30.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,31.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,31.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,31.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,31.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,31.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,31.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,31.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,31.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,31.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,31.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,32.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,32.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,32.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,32.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,32.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,32.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,32.6,0.0016611295681063138,2022-10-01,2025-09-30
avg_merge_latency_hours,32.7,0.05000000000000001,2022-10-01,2025-09-30
avg_merge_latency_hours,32.8,0.083333333333333343,2022-10-01,2025-09-30
avg_merge_latency_hours,32.9,0.11111111111111112,2022-10-01,2025-09-30
avg_merge_latency_hours,33.0,0.14285714285714285,2022-10-01,2025-09-30
avg_merge_latency_hours,33.1,0.16666666666666669,2022-10-01,2025-09-30
avg_merge_latency_hours,33.2,0.2,2022-10-01,2025-09-30
avg_merge_latency_hours,33.3,0.24242424242424246,2022-10-01,2025-09-30
avg_merge_latency_hours,33.4,0.25,2022-10-01,2025-09-30
avg_merge_latency_hours,33.5,0.28571428571428575,2022-10-01,2025-09-30
avg_merge_latency_hours,33.6,0.33333333333333331,2022-10-01,2025-09-30
avg_merge_latency_hours,33.7,0.33333333333333337,2022-10-01,2025-09-30
avg_merge_latency_hours,33.8,0.34615384615384626,2022-10-01,2025-09-30
avg_merge_latency_hours,33.9,0.4,2022-10-01,2025-09-30
avg_merge_latency_hours,34.0,0.46715328467153266,2022-10-01,2025-09-30
avg_merge_latency_hours,34.1,0.5,2022-10-01,2025-09-30
avg_merge_latency_hours,34.2,0.5,2022-10-01,2025-09-30
avg_merge_latency_hours,34.3,0.5,2022-10-01,2025-09-30
avg_merge_latency_hours,34.4,0.5,2022-10-01,2025-09-30
avg_merge_latency_hours,34.5,0.5,2022-10-01,2025-09-30
avg_merge_latency_hours,34.6,0.56249999999999978,2022-10-01,2025-09-30
avg_merge_latency_hours,34.7,0.61538461538461542,2022-10-01,2025-09-30
avg_merge_latency_hours,34.8,0.66666666666666663,2022-10-01,2025-09-30
avg_merge_latency_hours,34.9,0.68181818181818177,2022-10-01,2025-09-30
avg_merge_latency_hours,35.0,0.75,2022-10-01,2025-09-30
avg_merge_latency_hours,35.1,0.80952380952380976,2022-10-01,2025-09-30
avg_merge_latency_hours,35.2,0.8928571428571429,2022-10-01,2025-09-30
avg_merge_latency_hours,35.3,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,35.4,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,35.5,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,35.6,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,35.7,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,35.8,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,35.9,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,36.0,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,36.1,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,36.2,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,36.3,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,36.4,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,36.5,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,36.6,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,36.7,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,36.8,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,36.9,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,37.0,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,37.1,1.0,2022-10-01,2025-09-30
avg_merge_latency_hours,37.2,1.0769230769230769,2022-10-01,2025-09-30
avg_merge_latency_hours,37.3,1.1666666666666667,2022-10-01,2025-09-30
avg_merge_latency_hours,37.4,1.25,2022-10-01,2025-09-30
avg_merge_latency_hours,37.5,1.3333333333333333,2022-10-01,2025-09-30
avg_merge_latency_hours,37.6,1.375,2022-10-01,2025-09-30
avg_merge_latency_hours,37.7,1.4814814814814814,2022-10-01,2025-09-30
avg_merge_latency_hours,37.8,1.5,2022-10-01,2025-09-30
avg_merge_latency_hours,37.9,1.5,2022-10-01,2025-09-30
avg_merge_latency_hours,38.0,1.5714285714285714,2022-10-01,2025-09-30
avg_merge_latency_hours,38.1,1.6666666666666665,2022-10-01,2025-09-30
avg_merge_latency_hours,38.2,1.7272727272727271,2022-10-01,2025-09-30
avg_merge_latency_hours,38.3,1.8125,2022-10-01,2025-09-30
avg_merge_latency_hours,38.4,1.9285714285714288,2022-10-01,2025-09-30
avg_merge_latency_hours,38.5,2.0,2022-10-01,2025-09-30
avg_merge_latency_hours,38.6,2.0,2022-10-01,2025-09-30
